review,sentiment
"lathers generously...store brand ""tall can"" trash bags..etc!!!",Satisfied
Theres a much better value by going to Dollar General for hygenic items rather than a Supermarket!!!,Satisfied
HUGE DIFFERENCE IN PRICING!!!,Satisfied
"USE DOLLAR GENERALS ""SMART MOBILE COUPONS""!!!",Satisfied
HUUUUGE SAVINGS YA'LL!!!,Satisfied
Usually they always are stocked with wats in the ad.,Satisfied
Took multiple attempts to get the activation code to work then when I went to the store to use a coupon it wouldn't work and the manager couldn't override it.,Satisfied
Not shopping at DG again,Satisfied
you can never sign it the stupid thing.and it want except your email password exc .called customer service and he tried to help.grrrrr,Satisfied
down loaded app the privacy policy will not load on the app try contacting Dollar General and they could do nothing to get it to work very dissatisfied,Satisfied
"If I could i'd give it No stars, doesnt even let me move past the the phone number verification",Satisfied
good app,Satisfied
runs too slow,Satisfied
it runs battery down,Satisfied
geat,Satisfied
Terrible.......too much time to download and set up account!,Satisfied
Deceived!,Satisfied
Spent more than planned to get 5.00 off from ap coupon and clerk tells me...oh sat only.....i didnt read fine print.....no apology.....stone faced look from unfriendly cashier,Satisfied
my digital coupons never work... going to just delete the app....,Satisfied
Massive battery use.,Satisfied
Runs in background with no use.,Satisfied
I think the app needs to include a barcode scanner for price check and to see if the digital coupons that we selected from our acct matches the item that is available in store.,Satisfied
"Also, please consider adding the option to see the coupons we redeemed in the coupon tab of our app.",Satisfied
Can't get updated ads,Satisfied
this is a complete waste of time it is impossible to reblog in after getting a new phone info does not switch to new phone and can't even log back in frustrated customer .,Satisfied
Dollar General has great savings this app makes it even better to say more,Satisfied
My store in Morris CT refuses to use digital coupons. :/,Satisfied
Put in all info required just to say unable to create user profile.. ?,Satisfied
i LOVE LOVE LOVE THIS APP,Satisfied
fix this app so it actually works instead of the lousy try again message !!!!!,Satisfied
phone app not good to me .,Satisfied
Won't let me login.,Satisfied
I unloaded app.,Satisfied
Overall good,Satisfied
I wouldn't give it any stars. i have been trying reset my password. it wont let me.,Satisfied
love this app use it alot,Satisfied
cool app,Satisfied
"Dollar General privacy policy won't load, so the app is worthless.",Satisfied
"I have tried six different times, the app loads, privacy policy doesn't.",Satisfied
I like the prices better tha.,Satisfied
Family Dollar.,Satisfied
my coupons wont come up the digital is down,Satisfied
love it,Satisfied
I hate this app!,Satisfied
It locked me out last Christmas.,Satisfied
I have tried everything including setting up a new account.,Satisfied
I shop at Dollar General every week but can't use the money saving coupons.,Satisfied
Maybe Walmart will be a better situation since they match competitors coupons.,Satisfied
they are very nice.,Satisfied
Just love to Save with coupons.,Satisfied
"What is going on with your app, it's not working!!",Satisfied
I sent an email and no ones written back,Satisfied
"Every time I try to download this app and use it, I can't get past the privacy policy.",Satisfied
It will not load no matter what I try.,Satisfied
So i cant even use the app.,Satisfied
Is it my phone or is it your app?,Satisfied
Help with this would be great.,Satisfied
